*EVAPOTRANSPIRATION / PHOTOSYNTHESIS DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.5.035 -develop  JUN 02, 2021 09:26:05

*RUN   1        : 20 IRRIG, light rate,freq CRGRO047 UFGA7801    1
 MODEL          : CRGRO047 - Soybean
 EXPERIMENT     : UFGA7801 SB BRAGG, IRRIGATED & NON-IRRIGATED
 DATA PATH      :
 TREATMENT  1   : 20 IRRIG, light rate,freq CRGRO047
  
@YEAR DOY   DAS    LI%D   PHAD   PHAN    LI%N   SLLN   SLHN   N%LN   N%HN   LMLN   LMHN   TGON   TGAV
 2020 185    31    1.10   0.02    0.00   1.49   5.29   5.29   5.93   5.93   0.07   0.07  32.57  25.39
 2020 186    32    1.03   0.02    0.00   1.46   5.29   5.29   5.93   5.93   0.07   0.07  31.59  25.06
 2020 187    33    1.89   0.03    0.00   1.91   5.29   5.29   5.93   5.93   0.10   0.10  29.01  24.51
 2020 188    34    0.97   0.02    0.00   1.43   5.29   5.29   5.93   5.93   0.07   0.07  30.99  24.45
 2020 189    35    0.90   0.01    0.00   1.40   5.29   5.29   5.93   5.93   0.05   0.05  32.37  26.66
 2020 190    36    0.86   0.01    0.00   1.39   5.29   5.29   5.93   5.93   0.04   0.04  36.30  29.55
 2020 191    37    1.03   0.01    0.00   1.46   5.29   5.29   5.93   5.93   0.05   0.05  31.35  27.28
 2020 192    38    1.80   0.02    0.00   1.86   5.29   5.29   5.93   5.93   0.06   0.06  30.91  27.02
 2020 193    39    0.90   0.01    0.00   1.40   5.29   5.29   5.93   5.93   0.04   0.04  33.35  26.78
 2020 194    40    1.21   0.01    0.00   1.55   5.29   5.29   5.93   5.93   0.04   0.04  32.16  26.44
 2020 195    41    0.97   0.01    0.00   1.44   5.29   5.29   5.93   5.93   0.03   0.03  30.93  25.42
 2020 196    42    1.64   0.01    0.00   1.77   5.29   5.29   5.93   5.93   0.04   0.04  30.30  26.12
 2020 197    43    1.55   0.02    0.00   1.72   5.29   5.29   5.93   5.93   0.05   0.05  27.30  23.69
 2020 198    44    1.10   0.01    0.00   1.50   5.29   5.29   5.93   5.93   0.04   0.04  30.43  25.54
 2020 199    45    1.22   0.01    0.00   1.55   5.29   5.29   5.93   5.93   0.03   0.03  33.64  28.20
 2020 200    46    1.49   0.02    0.00   1.69   5.29   5.29   5.93   5.93   0.06   0.06  34.00  28.74
 2020 201    47    1.43   0.02    0.00   1.66   5.29   5.29   5.93   5.93   0.06   0.06  28.21  24.38
 2020 202    48    0.91   0.01    0.00   1.41   5.29   5.29   5.93   5.93   0.05   0.05  29.31  24.66
 2020 203    49    0.87   0.01    0.00   1.40   5.29   5.29   5.93   5.93   0.05   0.05  27.95  22.87
 2020 204    50    0.88   0.01    0.00   1.40   5.29   5.29   5.93   5.93   0.04   0.04  31.35  26.02
 2020 205    51    1.08   0.01    0.00   1.49   5.29   5.29   5.93   5.93   0.04   0.04  31.73  26.90
 2020 206    52    0.91   0.01    0.00   1.42   5.29   5.29   5.93   5.93   0.03   0.03  32.87  27.89
 2020 207    53    0.91   0.01    0.00   1.42   5.29   5.29   5.93   5.93   0.03   0.03  33.50  28.34
 2020 208    54    1.46   0.01    0.00   1.68   5.29   5.29   5.93   5.93   0.04   0.04  33.63  27.75
 2020 209    55    1.91   0.03    0.00   1.91   5.29   5.29   5.93   5.93   0.09   0.09  25.55  23.26
 2020 210    56    1.91   0.03    0.00   1.91   5.29   5.29   5.93   5.93   0.09   0.09  24.73  22.65
 2020 211    57    1.16   0.02    0.00   1.53   5.30   5.29   5.93   5.93   0.06   0.06  30.20  25.36
 2020 212    58    1.40   0.02    0.00   1.65   5.30   5.29   5.93   5.93   0.06   0.06  24.57  21.02
 2020 213    59    0.87   0.01    0.00   1.42   5.30   5.29   5.93   5.93   0.05   0.05  26.90  21.55
 2020 214    60    0.86   0.01    0.00   1.41   5.30   5.29   5.93   5.93   0.05   0.05  28.62  22.32
 2020 215    61    1.28   0.02    0.00   1.59   5.30   5.29   5.93   5.93   0.05   0.05  25.74  21.62
 2020 216    62    1.36   0.02    0.00   1.63   5.30   5.29   5.93   5.93   0.05   0.05  24.13  20.26
 2020 217    63    1.24   0.02    0.00   1.57   5.30   5.29   5.93   5.93   0.05   0.05  26.32  21.91
 2020 218    64    0.95   0.02    0.00   1.45   5.30   5.29   5.93   5.93   0.05   0.05  26.95  21.57
 2020 219    65    1.69   0.02    0.00   1.80   5.30   5.29   5.93   5.93   0.07   0.07  26.92  23.59
 2020 220    66    0.90   0.01    0.00   1.43   5.30   5.29   5.93   5.93   0.05   0.05  30.17  25.94
 2020 221    67    0.90   0.01    0.00   1.43   5.30   5.29   5.93   5.93   0.05   0.05  32.11  25.16
 2020 222    68    0.94   0.01    0.00   1.45   5.30   5.29   5.93   5.93   0.04   0.04  32.93  27.10
 2020 223    69    1.19   0.01    0.00   1.55   5.30   5.29   5.93   5.93   0.05   0.05  30.75  24.99
 2020 224    70    0.94   0.01    0.00   1.45   5.30   5.29   5.93   5.93   0.04   0.04  29.56  23.08
 2020 225    71    1.27   0.01    0.00   1.59   5.30   5.29   5.93   5.93   0.04   0.04  29.00  24.42
 2020 226    72    1.05   0.01    0.00   1.49   5.30   5.29   5.93   5.93   0.05   0.05  30.79  26.46
 2020 227    73    1.45   0.01    0.00   1.68   5.30   5.29   5.93   5.93   0.05   0.05  30.59  25.25
 2020 228    74    1.25   0.01    0.00   1.58   5.30   5.29   5.93   5.93   0.04   0.04  29.33  25.15
 2020 229    75    1.12   0.01    0.00   1.52   5.30   5.29   5.93   5.93   0.03   0.03  29.61  25.14
 2020 230    76    1.00   0.01    0.00   1.40   5.30   5.29   5.93   5.93   0.04   0.04  29.84  23.22
 2020 231    77    1.09   0.01    0.00   1.43   5.30   5.29   5.93   5.93   0.04   0.04  30.23  23.87
 2020 232    78    1.51   0.01    0.00   1.66   5.30   5.29   5.93   5.93   0.05   0.05  29.42  24.52
 2020 233    79    1.13   0.01    0.00   1.45   5.30   5.29   5.93   5.93   0.04   0.04  29.13  23.30
 2020 234    80    1.36   0.01    0.00   1.57   5.30   5.29   5.93   5.93   0.05   0.05  29.34  24.30
 2020 235    81    1.25   0.01    0.00   1.51   5.30   5.29   5.93   5.93   0.04   0.04  31.12  24.57
 2020 236    82    1.25   0.01    0.00   1.51   5.30   5.29   5.93   5.93   0.04   0.04  31.91  25.87
 2020 237    83    1.12   0.01    0.00   1.44   5.30   5.29   5.93   5.93   0.04   0.04  32.33  25.65
 2020 238    84    1.16   0.01    0.00   1.47   5.30   5.29   5.93   5.93   0.04   0.04  31.41  26.16
 2020 239    85    1.10   0.01    0.00   1.44   5.30   5.29   5.93   5.93   0.03   0.03  31.62  24.01
 2020 240    86    1.30   0.01    0.00   1.44   5.30   5.29   5.93   5.93   0.04   0.04  32.66  25.92
 2020 241    87    1.30   0.01    0.00   1.44   5.30   5.29   5.93   5.93   0.04   0.04  32.74  26.21
 2020 242    88    1.90   0.02    0.00   1.91   5.30   5.29   5.93   5.93   0.07   0.07  23.48  20.84
 2020 243    89    1.43   0.01    0.00   1.52   5.30   5.30   5.93   5.93   0.04   0.04  30.67  24.50
 2020 244    90    1.25   0.01    0.00   1.42   5.30   5.30   5.93   5.93   0.03   0.03  22.98  19.20
 2020 245    91    1.82   0.02    0.00   1.83   5.30   5.30   5.93   5.93   0.05   0.05  24.17  20.39
 2020 246    92    1.22   0.01    0.00   1.40   5.30   5.30   5.93   5.93   0.04   0.04  28.36  22.27
 2020 247    93    1.21   0.37    0.02   1.39   5.30   5.30   5.93   5.93   1.20   1.20  24.27  19.60
 2020 248    94    1.27   0.28    0.02   1.45   5.23   5.23   5.86   5.86   1.03   1.03  27.95  19.62
 2020 249    95    1.96   0.55    0.03   1.62   5.18   5.17   5.78   5.78   1.59   1.59  31.10  24.52
 2020 250    96    2.17   0.53    0.03   1.87   5.03   5.03   5.70   5.70   1.69   1.69  33.42  27.59
 2020 251    97    2.35   0.50    0.03   2.02   4.84   4.83   5.62   5.62   1.42   1.42  30.84  23.73
 2020 252    98    2.88   0.06    0.00   2.88   4.70   4.69   5.54   5.54   0.13   0.13  13.90   9.21
 2020 253    99    3.04   0.00    0.00   3.04   4.71   4.71   5.68   5.67   0.00   0.00   4.64   3.40
 2020 254   100    3.06   0.07    0.00   3.06   4.71   4.71   5.68   5.67   0.13   0.13  11.58   8.67
 2020 255   101    2.79   0.36    0.02   2.31   4.74   4.74   5.67   5.67   0.66   0.66  19.89  15.24
 2020 256   102    2.85   0.39    0.02   2.27   4.74   4.74   5.63   5.63   0.89   0.89  25.39  18.37
 2020 257   103    2.94   0.30    0.02   2.33   4.73   4.72   5.58   5.58   0.65   0.65  25.24  17.05
 2020 258   104    3.06   0.37    0.02   2.60   4.73   4.72   5.54   5.53   0.78   0.77  24.12  17.25
 2020 259   105    3.16   0.41    0.02   2.61   4.72   4.71   5.49   5.49   0.86   0.85  24.98  18.03
 2020 260   106    3.28   0.36    0.02   2.75   4.71   4.70   5.44   5.44   0.74   0.74  24.34  17.16
 2020 261   107    3.41   0.40    0.02   2.89   4.71   4.70   5.40   5.39   0.77   0.77  23.78  17.12
 2020 262   108    3.56   0.43    0.03   3.11   4.71   4.70   5.35   5.35   0.86   0.86  24.58  17.96
 2020 263   109    3.68   0.48    0.03   3.16   4.70   4.70   5.30   5.30   0.92   0.92  25.08  18.50
 2020 264   110    3.76   0.62    0.03   3.14   4.70   4.69   5.25   5.25   1.27   1.27  27.65  22.10
 2020 265   111    3.92   0.53    0.03   3.25   4.67   4.67   5.20   5.20   1.02   1.02  26.00  19.54
 2020 266   112    4.08   0.52    0.03   3.32   4.68   4.68   5.15   5.15   0.94   0.93  25.54  18.81
 2020 267   113    4.25   0.63    0.04   3.55   4.71   4.70   5.11   5.10   1.15   1.15  26.42  20.72
 2020 268   114    4.40   0.62    0.04   3.54   4.71   4.71   5.06   5.05   1.17   1.17  30.47  22.02
 2020 269   115    4.56   0.68    0.04   3.63   4.73   4.72   5.01   5.01   1.22   1.21  32.25  23.00
 2020 270   116    4.74   0.69    0.04   4.00   4.75   4.75   4.97   4.97   1.21   1.20  30.13  22.13
 2020 271   117    4.91   0.59    0.03   4.22   4.78   4.77   4.93   4.93   0.81   0.81  20.09  16.86
 2020 272   118    5.01   0.19    0.01   3.90   4.84   4.83   4.90   4.89   0.24   0.24  17.18  11.37
 2020 273   119    5.10   0.27    0.01   3.98   4.90   4.89   4.92   4.92   0.36   0.36  24.42  15.36
 2020 274   120    5.21   0.43    0.02   4.15   4.96   4.95   4.94   4.93   0.59   0.59  22.61  15.55
 2020 275   121    5.35   0.17    0.01   4.22   5.05   5.04   4.91   4.90   0.21   0.21  17.26  11.11
 2020 276   122    5.44   0.22    0.01   4.33   5.10   5.09   4.94   4.94   0.28   0.28  22.44  13.96
 2020 277   123    5.48   0.26    0.01   4.58   5.15   5.14   4.96   4.95   0.34   0.34  18.75  12.48
 2020 278   124    5.51   0.15    0.01   4.29   5.22   5.21   4.99   4.98   0.19   0.19  22.64  13.70
 2020 279   125    5.54   0.71    0.04   4.41   5.25   5.24   5.06   5.05   1.06   1.06  25.83  19.01
 2020 280   126    5.60   0.57    0.03   4.42   5.36   5.36   5.02   5.01   0.81   0.81  25.65  17.59
 2020 281   127    5.66   0.50    0.03   4.42   5.49   5.48   4.98   4.97   0.71   0.70  27.68  18.04
 2020 282   128    5.70   0.64    0.04   4.45   5.59   5.58   5.00   4.99   0.96   0.96  28.80  19.45
 2020 283   129    5.74   0.72    0.04   4.53   5.72   5.71   4.97   4.97   1.12   1.12  28.24  19.77
 2020 284   130    5.78   0.68    0.04   4.56   5.87   5.86   4.93   4.92   1.01   1.01  26.01  18.27
 2020 285   131    5.84   0.94    0.05   4.45   6.00   5.99   4.92   4.92   1.52   1.52  29.56  21.97
 2020 286   132    5.88   0.00    0.00   4.47   6.19   6.18   4.87   4.86   0.00   0.00  19.40  11.03
 2020 287   133    5.88   0.16    0.01   4.52   6.19   6.18   4.86   4.86   0.19   0.19  20.07  12.22
 2020 288   134    5.88   0.65    0.04   4.63   6.20   6.19   4.92   4.91   1.00   0.99  26.72  18.30
 2020 289   135    6.15   0.11    0.01   6.15   6.32   6.31   4.91   4.91   0.15   0.15  10.44   8.56
 2020 290   136    6.16   0.11    0.01   6.16   6.33   6.32   4.95   4.95   0.15   0.15  10.44   8.56

*DSSAT Cropping System Model Ver. 4.7.5.035 -develop  JUN 02, 2021 09:26:05

*RUN   2        : 20 RAINFED BRAGG          CRGRO047 UFGA7801    2
 MODEL          : CRGRO047 - Soybean
 EXPERIMENT     : UFGA7801 SB BRAGG, IRRIGATED & NON-IRRIGATED
 DATA PATH      :
 TREATMENT  2   : 20 RAINFED BRAGG          CRGRO047
  
@YEAR DOY   DAS    LI%D   PHAD   PHAN    LI%N   SLLN   SLHN   N%LN   N%HN   LMLN   LMHN   TGON   TGAV
 2020 155     1    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  33.17  26.88
 2020 156     2    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  33.92  26.63
 2020 157     3    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  35.96  28.49
 2020 158     4    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  34.68  28.39
 2020 159     5    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  33.92  29.18
 2020 160     6    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  36.23  29.52
 2020 161     7    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  23.51  17.59
 2020 162     8    0.72   0.05    0.00   1.31   5.26   5.25   5.93   5.93   0.15   0.15  24.74  18.03
 2020 163     9    0.77   0.04    0.00   1.33   5.26   5.26   5.93   5.93   0.17   0.17  31.26  24.63
 2020 164    10    0.82   0.04    0.00   1.35   5.26   5.26   5.93   5.93   0.17   0.17  33.03  26.29
 2020 165    11    0.77   0.03    0.00   1.34   5.26   5.26   5.93   5.93   0.12   0.12  34.63  25.89
 2020 166    12    1.48   0.03    0.00   1.67   5.27   5.26   5.93   5.93   0.10   0.10  33.86  28.04
 2020 167    13    0.84   0.02    0.00   1.37   5.27   5.26   5.93   5.93   0.09   0.09  33.73  27.56
 2020 168    14    0.84   0.02    0.00   1.37   5.27   5.26   5.93   5.93   0.09   0.09  32.47  26.98
 2020 169    15    0.95   0.02    0.00   1.42   5.27   5.26   5.93   5.93   0.08   0.08  34.51  28.84
 2020 170    16    0.88   0.03    0.00   1.38   5.27   5.26   5.93   5.93   0.10   0.10  29.35  25.21
 2020 171    17    1.88   0.05    0.00   1.90   5.27   5.26   5.93   5.93   0.15   0.15  23.34  19.45
 2020 172    18    1.00   0.03    0.00   1.44   5.27   5.27   5.93   5.93   0.10   0.10  30.29  23.97
 2020 173    19    1.65   0.03    0.00   1.77   5.27   5.27   5.93   5.93   0.10   0.10  32.25  25.26
 2020 174    20    1.00   0.03    0.00   1.44   5.27   5.27   5.93   5.93   0.08   0.08  29.00  22.72
 2020 175    21    1.13   0.03    0.00   1.50   5.27   5.27   5.93   5.93   0.08   0.08  28.64  22.47
 2020 176    22    0.91   0.01    0.00   1.40   5.27   5.27   5.93   5.93   0.06   0.06  33.85  27.14
 2020 177    23    1.02   0.01    0.00   1.45   5.27   5.27   5.93   5.93   0.04   0.04  34.68  27.80
 2020 178    24    0.90   0.01    0.00   1.39   5.27   5.27   5.93   5.93   0.05   0.05  34.47  27.84
 2020 179    25    1.04   0.01    0.00   1.46   5.27   5.27   5.93   5.93   0.04   0.04  34.32  27.54
 2020 180    26    0.95   0.01    0.00   1.42   5.27   5.27   5.93   5.93   0.04   0.04  34.97  28.05
 2020 181    27    0.87   0.01    0.00   1.38   5.27   5.27   5.93   5.93   0.03   0.03  37.42  30.64
 2020 182    28    0.86   0.01    0.00   1.38   5.27   5.27   5.93   5.93   0.03   0.03  34.56  27.07
 2020 183    29    1.01   0.01    0.00   1.44   5.27   5.27   5.93   5.93   0.03   0.03  31.31  25.68
 2020 184    30    1.32   0.01    0.00   1.59   5.27   5.27   5.93   5.93   0.03   0.03  34.88  28.03
 2020 185    31    1.10   0.01    0.00   1.49   5.27   5.27   5.93   5.93   0.03   0.03  32.57  25.39
 2020 186    32    1.03   0.01    0.00   1.45   5.27   5.27   5.93   5.93   0.03   0.03  31.59  25.06
 2020 187    33    1.88   0.01    0.00   1.90   5.27   5.27   5.93   5.93   0.04   0.04  29.01  24.51
 2020 188    34    0.97   0.01    0.00   1.43   5.27   5.27   5.93   5.93   0.02   0.02  30.99  24.45
 2020 189    35    0.89   0.00    0.00   1.39   5.27   5.27   5.93   5.93   0.02   0.02  32.37  26.66
 2020 190    36    0.86   0.00    0.00   1.38   5.27   5.27   5.93   5.93   0.01   0.01  36.30  29.55
 2020 191    37    1.02   0.00    0.00   1.45   5.27   5.27   5.93   5.93   0.02   0.02  31.35  27.28
 2020 192    38    1.80   0.01    0.00   1.85   5.27   5.27   5.93   5.93   0.02   0.02  30.91  27.02
 2020 193    39    0.89   0.00    0.00   1.39   5.27   5.27   5.93   5.93   0.01   0.01  33.35  26.78
 2020 194    40    1.21   0.00    0.00   1.54   5.27   5.27   5.93   5.93   0.01   0.01  32.16  26.44
 2020 195    41    0.97   0.00    0.00   1.43   5.27   5.27   5.93   5.93   0.01   0.01  30.93  25.42
 2020 196    42    1.63   0.00    0.00   1.76   5.27   5.27   5.93   5.93   0.02   0.02  30.30  26.12
 2020 197    43    1.54   0.01    0.00   1.71   5.27   5.27   5.93   5.93   0.02   0.02  27.30  23.69
 2020 198    44    1.08   0.00    0.00   1.49   5.27   5.27   5.93   5.93   0.01   0.01  30.43  25.54
 2020 199    45    1.21   0.00    0.00   1.54   5.27   5.27   5.93   5.93   0.01   0.01  33.64  28.20
 2020 200    46    1.48   0.01    0.00   1.68   5.27   5.27   5.93   5.93   0.03   0.03  34.00  28.74
 2020 201    47    1.42   0.02    0.00   1.65   5.27   5.27   5.93   5.93   0.05   0.05  28.21  24.38
 2020 202    48    0.90   0.01    0.00   1.40   5.27   5.27   5.93   5.93   0.05   0.05  29.31  24.66
 2020 203    49    0.86   0.01    0.00   1.39   5.27   5.27   5.93   5.93   0.04   0.04  27.95  22.87
 2020 204    50    0.87   0.01    0.00   1.39   5.27   5.27   5.93   5.93   0.04   0.04  31.35  26.02
 2020 205    51    1.07   0.01    0.00   1.48   5.27   5.27   5.93   5.93   0.04   0.04  31.73  26.90
 2020 206    52    0.90   0.01    0.00   1.41   5.27   5.27   5.93   5.93   0.03   0.03  32.87  27.89
 2020 207    53    0.90   0.01    0.00   1.41   5.27   5.27   5.93   5.93   0.03   0.03  33.50  28.34
 2020 208    54    1.45   0.01    0.00   1.67   5.27   5.27   5.93   5.93   0.04   0.04  33.63  27.75
 2020 209    55    1.90   0.03    0.00   1.90   5.27   5.27   5.93   5.93   0.08   0.08  25.55  23.26
 2020 210    56    1.90   0.02    0.00   1.90   5.28   5.27   5.93   5.93   0.08   0.08  24.73  22.65
 2020 211    57    1.15   0.01    0.00   1.52   5.28   5.27   5.93   5.93   0.05   0.05  30.20  25.36
 2020 212    58    1.39   0.02    0.00   1.64   5.28   5.27   5.93   5.93   0.05   0.05  24.57  21.02
 2020 213    59    0.87   0.01    0.00   1.41   5.28   5.27   5.93   5.93   0.05   0.05  26.90  21.55
 2020 214    60    0.85   0.01    0.00   1.40   5.28   5.27   5.93   5.93   0.05   0.05  28.62  22.32
 2020 215    61    1.27   0.02    0.00   1.58   5.28   5.27   5.93   5.93   0.05   0.05  25.74  21.62
 2020 216    62    1.35   0.02    0.00   1.62   5.28   5.27   5.93   5.93   0.04   0.04  24.13  20.26
 2020 217    63    1.23   0.01    0.00   1.56   5.28   5.27   5.93   5.93   0.05   0.05  26.32  21.91
 2020 218    64    0.95   0.01    0.00   1.44   5.28   5.27   5.93   5.93   0.05   0.05  26.95  21.57
 2020 219    65    1.68   0.02    0.00   1.79   5.28   5.27   5.93   5.93   0.06   0.06  26.92  23.59
 2020 220    66    0.90   0.01    0.00   1.42   5.28   5.27   5.93   5.93   0.05   0.05  30.17  25.94
 2020 221    67    0.90   0.01    0.00   1.42   5.28   5.27   5.93   5.93   0.04   0.04  32.11  25.16
 2020 222    68    0.93   0.01    0.00   1.44   5.28   5.27   5.93   5.93   0.04   0.04  32.93  27.10
 2020 223    69    1.18   0.01    0.00   1.54   5.28   5.27   5.93   5.93   0.05   0.05  30.75  24.99
 2020 224    70    0.93   0.01    0.00   1.44   5.28   5.27   5.93   5.93   0.04   0.04  29.56  23.08
 2020 225    71    1.26   0.01    0.00   1.58   5.28   5.27   5.93   5.93   0.04   0.04  29.00  24.42
 2020 226    72    1.04   0.01    0.00   1.48   5.28   5.27   5.93   5.93   0.04   0.04  30.79  26.46
 2020 227    73    1.44   0.01    0.00   1.67   5.28   5.27   5.93   5.93   0.04   0.04  30.59  25.25
 2020 228    74    1.24   0.01    0.00   1.57   5.28   5.27   5.93   5.93   0.04   0.04  29.33  25.15
 2020 229    75    1.12   0.01    0.00   1.52   5.28   5.27   5.93   5.93   0.03   0.03  29.61  25.14
 2020 230    76    0.78   0.01    0.00   1.39   5.28   5.27   5.93   5.93   0.04   0.04  29.84  23.22
 2020 231    77    0.88   0.01    0.00   1.42   5.28   5.27   5.93   5.93   0.04   0.04  30.23  23.87
 2020 232    78    1.40   0.01    0.00   1.65   5.28   5.27   5.93   5.93   0.04   0.04  29.42  24.52
 2020 233    79    0.93   0.01    0.00   1.44   5.28   5.27   5.93   5.93   0.03   0.03  29.13  23.30
 2020 234    80    1.21   0.01    0.00   1.56   5.28   5.27   5.93   5.93   0.04   0.04  29.34  24.30
 2020 235    81    1.24   0.01    0.00   1.50   5.28   5.27   5.93   5.93   0.03   0.03  31.12  24.57
 2020 236    82    1.24   0.01    0.00   1.50   5.28   5.27   5.93   5.93   0.03   0.03  31.91  25.87
 2020 237    83    1.11   0.01    0.00   1.44   5.28   5.27   5.93   5.93   0.02   0.02  32.33  25.65
 2020 238    84    1.16   0.01    0.00   1.46   5.28   5.27   5.93   5.93   0.02   0.02  31.41  26.16
 2020 239    85    1.10   0.00    0.00   1.43   5.28   5.27   5.93   5.93   0.02   0.02  31.62  24.01
 2020 240    86    1.10   0.00    0.00   1.43   5.28   5.27   5.93   5.93   0.02   0.02  32.66  25.92
 2020 241    87    1.11   0.00    0.00   1.44   5.28   5.27   5.93   5.93   0.02   0.02  32.74  26.21
 2020 242    88    1.88   0.02    0.00   1.90   5.28   5.27   5.93   5.93   0.06   0.06  23.48  20.84
 2020 243    89    1.27   0.01    0.00   1.51   5.28   5.27   5.93   5.93   0.04   0.04  30.67  24.50
 2020 244    90    1.05   0.01    0.00   1.41   5.28   5.27   5.93   5.93   0.03   0.03  22.98  19.20
 2020 245    91    1.77   0.02    0.00   1.82   5.28   5.27   5.93   5.93   0.05   0.05  24.17  20.39
 2020 246    92    1.21   0.01    0.00   1.39   5.28   5.28   5.93   5.93   0.03   0.03  28.36  22.27
 2020 247    93    1.20   0.37    0.02   1.39   5.28   5.28   5.93   5.93   1.20   1.20  24.27  19.60
 2020 248    94    1.27   0.29    0.02   1.45   5.20   5.19   5.85   5.85   1.02   1.02  27.95  19.62
 2020 249    95    1.98   0.57    0.03   1.64   5.13   5.13   5.76   5.76   1.58   1.58  31.10  24.52
 2020 250    96    2.21   0.56    0.03   1.91   4.97   4.97   5.67   5.67   1.67   1.67  33.42  27.59
 2020 251    97    2.47   0.56    0.03   2.13   4.69   4.69   5.57   5.57   1.38   1.38  30.84  23.73
 2020 252    98    3.08   0.06    0.00   3.08   4.52   4.51   5.48   5.47   0.13   0.13  13.90   9.21
