*N2O emissions output file

*DSSAT Cropping System Model Ver. 4.7.5.035 -develop  JUN 02, 2021 09:26:05

*RUN   1        : 20 IRRIG, light rate,freq CRGRO047 UFGA7801    1
 MODEL          : CRGRO047 - Soybean
 EXPERIMENT     : UFGA7801 SB BRAGG, IRRIGATED & NON-IRRIGATED
 DATA PATH      :
 TREATMENT  1   : 20 IRRIG, light rate,freq CRGRO047
  
!              |---------------------------------- Cumulative ---------------------------------|---------------------------------- Daily --------------------------------------|
!               N2Oemit  N2emit  NOemit     CO2   Denit  Nitrif   N2O-denit+nit      N2      NO N2Oemit  N2emit  NOemit     CO2   Denit  Nitrif   N2O-denit+nit      N2      NO   Denitrification (g[N]/ha) by soil depth (cm):                           Nitrification (g[N]/ha) by soil depth (cm):                             N2O flux (g[N]/ha) by soil depth (cm):                                  N2 flux (g[N]/ha) by soil depth (cm):                                   NO flux (g[N]/ha) by soil depth (cm):
!                 kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha     0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150 150-180     0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150 150-180     0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150 150-180     0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150 150-180     0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150 150-180
@YEAR DOY   DAS   N2OEC    N2EC    NOEC   CO2TC    NDNC    NITC   N2ODC   N2ONC   N2FLC   NOFLC   N2OED    N2ED    NOED   CO2TD    NDND   NITRD   N2ODD   N2OND   N2FLD   NOFLD   NDN1D   NDN2D   NDN3D   NDN4D   NDN5D   NDN6D   NDN7D   NDN8D   NDN9D   NIT1D   NIT2D   NIT3D   NIT4D   NIT5D   NIT6D   NIT7D   NIT8D   NIT9D   N2O1D   N2O2D   N2O3D   N2O4D   N2O5D   N2O6D   N2O7D   N2O8D   N2O9D   N2F1D   N2F2D   N2F3D   N2F4D   N2F5D   N2F6D   N2F7D   N2F8D   N2F9D   NOF1D   NOF2D   NOF3D   NOF4D   NOF5D   NOF6D   NOF7D   NOF8D   NOF9D   
 2020 165    11    0.00    0.00    0.03      37    0.00    18.2   0.000   0.018   0.000   0.119     0.7     0.0     5.6    2605     0.0     221    0.00    0.22    0.00    2.30     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     27.     46.     33.     24.     24.     23.     12.     13.     19.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.3     0.5     0.4     0.3     0.3     0.3     0.1     0.1     0.0
 2020 166    12    0.00    0.00    0.04      40    0.00    18.5   0.000   0.018   0.000   0.121     0.7     0.0     5.7    2497     0.0     211    0.00    0.21    0.00    1.81     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     24.     45.     34.     25.     24.     22.     10.     11.     15.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.2     0.4     0.3     0.2     0.2     0.2     0.1     0.1     0.0
 2020 167    13    0.01    0.00    0.05      57    0.00    18.7   0.000   0.019   0.000   0.122     0.7     0.0     5.7   16976     0.0     214    0.00    0.21    0.00    1.49     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     27.     29.     40.     29.     28.     25.     11.     11.     14.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.2     0.2     0.3     0.2     0.2     0.2     0.1     0.0     0.0
 2020 168    14    0.01    0.00    0.05      77    0.00    18.8   0.000   0.019   0.000   0.123     0.5     0.0     4.1   20298     0.0     167    0.00    0.17    0.00    1.05     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.      0.     44.     32.     30.     27.     10.     11.     13.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.3     0.2     0.2     0.2     0.1     0.0     0.0
 2020 169    15    0.01    0.00    0.06      97    0.00    19.0   0.000   0.019   0.000   0.124     0.7     0.0     5.8   19641     0.0     162    0.00    0.16    0.00    1.03     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.      0.     43.     31.     30.     26.     10.     10.     12.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.3     0.2     0.2     0.2     0.1     0.0     0.0
 2020 170    16    0.01    0.00    0.06     113    0.00    19.2   0.000   0.019   0.000   0.125     0.7     0.0     5.7   16907     0.0     158    0.00    0.16    0.00    1.01     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.      0.     43.     31.     30.     26.      9.      9.     11.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.3     0.2     0.2     0.2     0.1     0.0     0.0
 2020 171    17    0.01    0.00    0.06     130    0.00    19.3   0.000   0.019   0.000   0.126     0.5     0.0     3.7   16691     0.0     145    0.00    0.15    0.00    0.93     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      1.      0.     39.     28.     27.     24.      8.      8.      9.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.3     0.2     0.2     0.2     0.1     0.0     0.0
 2020 172    18    0.01    0.00    0.07     145    0.00    19.4   0.000   0.019   0.000   0.127     0.6     0.0     4.7   14440     0.0     140    0.00    0.14    0.00    0.91     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      6.      7.     34.     25.     24.     21.      7.      7.      8.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.2     0.2     0.2     0.2     0.1     0.0     0.0
 2020 173    19    0.01    0.00    0.07     157    0.00    19.6   0.000   0.020   0.000   0.128     0.7     0.0     5.5   12815     0.0     157    0.00    0.16    0.00    1.04     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     13.     20.     34.     25.     23.     20.      7.      7.      8.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.1     0.2     0.2     0.2     0.1     0.0     0.0     0.0
 2020 174    20    0.01    0.00    0.08     169    0.00    19.8   0.000   0.020   0.000   0.129     0.7     0.0     5.2   11294     0.0     178    0.00    0.18    0.00    1.19     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     19.     34.     34.     25.     23.     21.      7.      7.      8.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.2     0.2     0.2     0.2     0.1     0.0     0.0     0.0
 2020 175    21    0.01    0.00    0.08     178    0.00    20.0   0.000   0.020   0.000   0.130     0.7     0.0     4.9    9788     0.0     185    0.00    0.19    0.00    1.25     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     21.     44.     33.     24.     22.     20.      6.      7.      7.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.2     0.3     0.2     0.2     0.2     0.1     0.0     0.0     0.0
 2020 176    22    0.01    0.00    0.09     187    0.00    20.2   0.000   0.020   0.000   0.132     0.6     0.0     4.6    8808     0.0     196    0.00    0.20    0.00    1.33     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     23.     53.     33.     24.     23.     20.      6.      7.      7.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.2     0.4     0.2     0.2     0.2     0.1     0.0     0.0     0.0
 2020 177    23    0.01    0.00    0.09     196    0.00    20.4   0.000   0.020   0.000   0.133     0.6     0.0     4.4    8775     0.0     239    0.00    0.24    0.00    1.63     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     29.     71.     39.     28.     26.     23.      7.      7.      8.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.2     0.5     0.3     0.2     0.2     0.2     0.1     0.0     0.0
 2020 178    24    0.01    0.00    0.10     204    0.00    20.7   0.000   0.021   0.000   0.135     0.6     0.0     4.2    8358     0.0     259    0.00    0.26    0.00    1.77     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     31.     83.     41.     30.     27.     24.      8.      8.      8.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.2     0.6     0.3     0.2     0.2     0.2     0.1     0.0     0.0
 2020 179    25    0.01    0.00    0.10     212    0.00    20.9   0.000   0.021   0.000   0.137     0.6     0.0     4.0    7924     0.0     273    0.00    0.27    0.00    1.86     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     32.     91.     42.     30.     28.     25.      8.      8.      9.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.2     0.7     0.3     0.2     0.2     0.2     0.1     0.0     0.0
 2020 180    26    0.01    0.00    0.11     220    0.00    21.2   0.000   0.021   0.000   0.139     0.6     0.0     3.9    7613     0.0     289    0.00    0.29    0.00    1.98     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     33.    101.     43.     32.     29.     26.      8.      8.      9.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.2     0.7     0.3     0.2     0.2     0.2     0.1     0.0     0.0
 2020 181    27    0.01    0.00    0.11     227    0.00    21.5   0.000   0.022   0.000   0.141     0.6     0.0     3.7    7353     0.0     308    0.00    0.31    0.00    2.11     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     34.    111.     46.     33.     30.     28.      9.      9.      9.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.3     0.8     0.3     0.2     0.2     0.2     0.1     0.0     0.0
 2020 182    28    0.01    0.00    0.11     237    0.00    21.9   0.000   0.022   0.000   0.143     0.3     0.0     2.0    9595     0.0     369    0.00    0.37    0.00    2.22     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     66.    137.     47.     33.     30.     28.      9.      9.      9.     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.2     1.0     0.3     0.2     0.2     0.2     0.1     0.0     0.0
 2020 183    29    0.02    0.00    0.12     246    0.00    22.3   0.000   0.022   0.000   0.146     0.5     0.0     3.4    9450     0.0     374    0.00    0.37    0.00    2.56     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     73.    138.     46.     33.     31.     27.      9.      9.      9.     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.5     1.0     0.3     0.2     0.2     0.2     0.1     0.0     0.0
 2020 184    30    0.02    0.00    0.12     255    0.00    22.6   0.000   0.023   0.000   0.148     0.6     0.0     3.9    8799     0.0     353    0.00    0.35    0.00    2.44     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     69.    131.     43.     31.     28.     26.      8.      8.      9.     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.5     0.9     0.3     0.2     0.2     0.2     0.1     0.0     0.0
 2020 185    31    0.02    0.00    0.12     263    0.00    23.0   0.000   0.023   0.000   0.151     0.6     0.0     3.7    8130     0.0     348    0.00    0.35    0.00    2.41     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     64.    131.     43.     31.     28.     26.      8.      8.      9.     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.5     0.9     0.3     0.2     0.2     0.2     0.1     0.0     0.0
 2020 186    32    0.02    0.00    0.13     271    0.00    23.3   0.000   0.023   0.000   0.153     0.6     0.0     3.5    7438     0.0     331    0.00    0.33    0.00    2.29     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     57.    124.     41.     30.     28.     25.      8.      8.      9.     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.4     0.9     0.3     0.2     0.2     0.2     0.1     0.0     0.0
 2020 187    33    0.02    0.00    0.13     277    0.00    23.6   0.000   0.024   0.000   0.155     0.5     0.0     3.4    6677     0.0     305    0.00    0.31    0.00    2.10     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     50.    114.     39.     29.     26.     24.      8.      8.      8.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.4     0.8     0.3     0.2     0.2     0.2     0.1     0.0     0.0
 2020 188    34    0.02    0.00    0.13     283    0.00    23.9   0.000   0.024   0.000   0.157     0.5     0.0     3.2    5880     0.0     278    0.00    0.28    0.00    1.91     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     43.    104.     36.     27.     25.     22.      7.      7.      8.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.3     0.8     0.2     0.2     0.2     0.2     0.0     0.0     0.0
 2020 189    35    0.02    0.00    0.14     289    0.00    24.2   0.000   0.024   0.000   0.159     0.5     0.0     3.0    5506     0.0     276    0.00    0.28    0.00    1.90     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     40.    103.     36.     26.     25.     22.      7.      7.      8.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.3     0.7     0.3     0.2     0.2     0.2     0.1     0.0     0.0
 2020 190    36    0.02    0.00    0.14     294    0.00    24.4   0.000   0.024   0.000   0.161     0.5     0.0     2.9    5137     0.0     268    0.00    0.27    0.00    1.84     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     36.    101.     36.     26.     25.     22.      7.      7.      8.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.3     0.7     0.3     0.2     0.2     0.2     0.1     0.0     0.0
 2020 191    37    0.02    0.00    0.14     299    0.00    24.7   0.000   0.025   0.000   0.163     0.5     0.0     2.8    4989     0.0     278    0.00    0.28    0.00    1.91     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     35.    105.     38.     27.     26.     23.      7.      8.      8.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.3     0.8     0.3     0.2     0.2     0.2     0.1     0.0     0.0
 2020 192    38    0.02    0.00    0.14     304    0.00    25.0   0.000   0.025   0.000   0.165     0.4     0.0     2.6    4736     0.0     273    0.00    0.27    0.00    1.87     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     33.    103.     38.     27.     26.     23.      8.      8.      8.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.2     0.7     0.3     0.2     0.2     0.2     0.1     0.0     0.0
 2020 193    39    0.02    0.00    0.15     308    0.00    25.3   0.000   0.025   0.000   0.166     0.4     0.0     2.5    4615     0.0     275    0.00    0.28    0.00    1.89     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     31.    104.     39.     27.     27.     23.      8.      8.      9.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.2     0.8     0.3     0.2     0.2     0.2     0.1     0.0     0.0
 2020 194    40    0.02    0.00    0.15     313    0.00    25.5   0.000   0.026   0.000   0.168     0.4     0.0     2.4    4442     0.0     279    0.00    0.28    0.00    1.91     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     29.    105.     40.     29.     27.     24.      8.      8.      9.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.2     0.8     0.3     0.2     0.2     0.2     0.1     0.0     0.0
 2020 195    41    0.02    0.00    0.15     317    0.00    25.8   0.000   0.026   0.000   0.170     0.4     0.0     2.4    4252     0.0     271    0.00    0.27    0.00    1.85     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     27.    101.     39.     28.     27.     24.      8.      8.      9.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.2     0.7     0.3     0.2     0.2     0.2     0.1     0.0     0.0
 2020 196    42    0.02    0.00    0.15     321    0.00    26.1   0.000   0.026   0.000   0.177     0.4     0.0     2.6    3953     0.0     249    0.00    0.25    0.00    6.37     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     23.     92.     37.     26.     25.     22.      7.      8.      8.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.6     2.5     1.0     0.7     0.7     0.6     0.2     0.1     0.0
 2020 197    43    0.02    0.00    0.16     326    0.00    26.3   0.000   0.026   0.000   0.183     0.4     0.0     2.9    4942     0.0     284    0.00    0.28    0.00    5.96     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     64.     88.     36.     25.     25.     22.      7.      7.      8.     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.4     1.9     0.8     0.5     0.5     0.5     0.2     0.1     0.0
 2020 198    44    0.02    0.00    0.16     330    0.00    26.6   0.000   0.027   0.000   0.187     0.4     0.0     3.2    4567     0.0     266    0.00    0.27    0.00    4.53     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     55.     83.     35.     25.     24.     21.      7.      7.      8.     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0     1.5     0.6     0.4     0.4     0.4     0.1     0.1     0.0
 2020 199    45    0.02    0.00    0.16     335    0.00    26.9   0.000   0.027   0.000   0.191     0.4     0.0     3.2    4220     0.0     251    0.00    0.25    0.00    3.46     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     48.     79.     34.     24.     24.     21.      7.      7.      8.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.7     1.1     0.5     0.3     0.3     0.3     0.1     0.1     0.0
 2020 200    46    0.02    0.00    0.17     340    0.00    27.1   0.000   0.027   0.000   0.194     0.3     0.0     2.6    4913     0.0     286    0.00    0.29    0.00    3.12     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     63.     97.     34.     25.     24.     21.      7.      7.      8.     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.7     1.2     0.4     0.3     0.3     0.2     0.1     0.1     0.0
